niva,kod,namn,val,parti,andel
kommun,0682,,KF,C,6.04
kommun,0682,,KF,KD,10.98
kommun,0682,,KF,L,5.71
kommun,0682,,KF,M,12.91
kommun,0682,,KF,MP,2.34
kommun,0682,,KF,S,25.66
kommun,0682,,KF,SAFE - Solidaritet Arbete Fred Ekologi,4.66
kommun,0682,,KF,SD,27.4
kommun,0682,,KF,V,3.94
kommun,0683,,KF,C,16.39
kommun,0683,,KF,KD,10.34
kommun,0683,,KF,L,2.98
kommun,0683,,KF,M,20.61
kommun,0683,,KF,MP,1.89
kommun,0683,,KF,S,26.84
kommun,0683,,KF,SD,16.7
kommun,0683,,KF,V,4.02
kommun,0684,,KF,C,7.52
kommun,0684,,KF,KD,31.32
kommun,0684,,KF,M,21.78
kommun,0684,,KF,S,20.75
kommun,0684,,KF,SD,14.16
kommun,0684,,KF,V,2.76
kommun,0685,,KF,C,8.02
kommun,0685,,KF,KD,9.6
kommun,0685,,KF,L,2.32
kommun,0685,,KF,M,13.68
kommun,0685,,KF,S,24.42
kommun,0685,,KF,SD,14.09
kommun,0685,,KF,V,3.02
kommun,0685,,KF,Vetlanda framåtanda,22.76
kommun,0686,,KF,C,16.32
kommun,0686,,KF,KD,6.99
kommun,0686,,KF,L,3.63
kommun,0686,,KF,M,20.3
kommun,0686,,KF,MP,2.32
kommun,0686,,KF,S,29.95
kommun,0686,,KF,SD,15.65
kommun,0686,,KF,V,4.55
kommun,0687,,KF,C,7.27
kommun,0687,,KF,KD,6.44
kommun,0687,,KF,L,3.27
kommun,0687,,KF,M,21.01
kommun,0687,,KF,MP,4.15
kommun,0687,,KF,S,33.27
kommun,0687,,KF,SD,20.81
kommun,0687,,KF,V,3.26
kommun,0760,,KF,C,11.85
kommun,0760,,KF,KD,6.64
kommun,0760,,KF,L,1.06
kommun,0760,,KF,Landsbygdspartiet Oberoende,5.75
kommun,0760,,KF,M,16.34
kommun,0760,,KF,S,24.87
kommun,0760,,KF,SD,25.41
kommun,0760,,KF,V,7.34
kommun,0761,,KF,C,8.42
kommun,0761,,KF,KD,7.8
kommun,0761,,KF,M,23.66
kommun,0761,,KF,MP,1.5
kommun,0761,,KF,S,35.21
kommun,0761,,KF,SD,15.17
kommun,0761,,KF,V,7.58
kommun,0763,,KF,C,12.73
kommun,0763,,KF,KD,7.87
kommun,0763,,KF,M,17.64
kommun,0763,,KF,S,30.14
kommun,0763,,KF,SD,25.05
kommun,0763,,KF,V,4.51
kommun,0764,,KF,Alvesta Alternativet,10.71
kommun,0764,,KF,C,11.16
kommun,0764,,KF,KD,5.26
kommun,0764,,KF,L,1.98
kommun,0764,,KF,M,19.81
kommun,0764,,KF,MP,1.78
kommun,0764,,KF,S,27.09
kommun,0764,,KF,SD,16.24
kommun,0764,,KF,V,4.29
kommun,0765,,KF,C,15.36
kommun,0765,,KF,KD,4.71
kommun,0765,,KF,L,1.87
kommun,0765,,KF,M,21.88
kommun,0765,,KF,MP,2.16
kommun,0765,,KF,S,35.09
kommun,0765,,KF,SD,13.48
kommun,0765,,KF,V,4.82
kommun,0767,,KF,C,4.58
kommun,0767,,KF,KD,37.75
kommun,0767,,KF,M,8.35
kommun,0767,,KF,S,24.69
kommun,0767,,KF,SD,20.24
kommun,0767,,KF,V,2.67
kommun,0780,,KF,C,5.63
kommun,0780,,KF,KD,5.23
kommun,0780,,KF,L,3.62
kommun,0780,,KF,M,27.3
kommun,0780,,KF,MP,3.14
kommun,0780,,KF,S,34.9
kommun,0780,,KF,SD,11.1
kommun,0780,,KF,V,8.19
kommun,0781,,KF,Alternativet,2.75
kommun,0781,,KF,C,8.72
kommun,0781,,KF,KD,6.78
kommun,0781,,KF,M,28.35
kommun,0781,,KF,MP,2.15
kommun,0781,,KF,S,25.08
kommun,0781,,KF,SD,19.38
kommun,0781,,KF,V,5.46
kommun,0821,,KF,C,16.13
kommun,0821,,KF,KD,15.64
kommun,0821,,KF,M,10.97
kommun,0821,,KF,S,30.54
kommun,0821,,KF,SD,21.68
kommun,0821,,KF,V,3.7
kommun,0834,,KF,C,17.34
kommun,0834,,KF,KD,4.53
kommun,0834,,KF,L,3.5
kommun,0834,,KF,M,10.2
kommun,0834,,KF,MP,2.42
kommun,0834,,KF,S,28.82
kommun,0834,,KF,SD,28.53
kommun,0834,,KF,V,4.4
kommun,0840,,KF,C,13.18
kommun,0840,,KF,KD,5.82
kommun,0840,,KF,L,2.76
kommun,0840,,KF,M,25.15
kommun,0840,,KF,MP,1.46
kommun,0840,,KF,S,31.94
kommun,0840,,KF,SD,13.3
kommun,0840,,KF,V,5.64
kommun,0860,,KF,C,31.95
kommun,0860,,KF,KD,13.8
kommun,0860,,KF,M,8.13
kommun,0860,,KF,S,24.65
kommun,0860,,KF,SD,13.58
kommun,0860,,KF,V,6.34
kommun,0861,,KF,C,24.43
kommun,0861,,KF,KD,8.72
kommun,0861,,KF,L,2.29
kommun,0861,,KF,M,7.18
kommun,0861,,KF,S,34.29
kommun,0861,,KF,SD,18.87
kommun,0861,,KF,V,3.39
kommun,0862,,KF,Bästa Alternativet,1.39
kommun,0862,,KF,C,18.93
kommun,0862,,KF,KD,4.63
kommun,0862,,KF,L,1.05
kommun,0862,,KF,M,16.26
kommun,0862,,KF,MP,2.03
kommun,0862,,KF,S,33.03
kommun,0862,,KF,SD,18.27
kommun,0862,,KF,V,4.31
kommun,0880,,KF,C,5.91
kommun,0880,,KF,Framtid Kalmar,1.36
kommun,0880,,KF,KD,6.34
kommun,0880,,KF,L,3.57
kommun,0880,,KF,M,21.06
kommun,0880,,KF,MP,3.83
kommun,0880,,KF,S,38.19
kommun,0880,,KF,SD,12.69
kommun,0880,,KF,V,6.69
kommun,0881,,KF,C,16.8
kommun,0881,,KF,KD,6.17
kommun,0881,,KF,Kommunistiska Partiet,1.28
kommun,0881,,KF,L,2.5
kommun,0881,,KF,M,15.28
kommun,0881,,KF,S,31.12
kommun,0881,,KF,SD,19.52
kommun,0881,,KF,V,5.83
kommun,0882,,KF,C,3.79
kommun,0882,,KF,KD,6.72
