kommunkod,syssgrad,arbloshet,arbloshet_ung,langtidsarbl,medianink,lag_ekstand,ekbistand,gini,hyresratt,trangbodd,brott,tathet,tatortsgrad,utrikesfodda,medelalder,ensamhushall,valdeltagande
1471,86.1,2.960526,3.134772,2.120758,368800.0,13.0,2.003766,0.313,20.272873,16.603569,10354.96269,32.78457545,64.0,11.789077,45.3,42.320261,89.0
1472,81.5,5.461613,4.050145,4.349148,351800.0,19.0,3.272217,0.278,30.692151,18.465228,8712.52204,51.32393085,84.0,16.18563,43.9,46.148107,85.0
1473,79.7,5.319413,5.091511,3.518051,336800.0,22.0,3.723057,0.311,32.391753,13.125638,9601.47882,17.02824169,61.0,14.119312,45.5,47.003367,85.0
1480,78.6,5.260566,3.267342,3.714468,369100.0,17.0,3.376444,0.336,53.767642,18.120418,15946.94315,1311.96186138,99.0,29.142938,39.3,52.742993,83.0
1481,85.8,2.619125,2.036554,1.880071,420400.0,8.0,2.011154,0.273,32.591635,11.9765,9132.32228,479.45571703,97.0,19.234335,39.7,43.531627,88.0
1482,87.3,2.528101,2.544017,1.788512,415100.0,8.0,1.870873,0.295,26.899152,11.721169,8358.41748,133.16505283,79.0,11.310834,41.7,41.913408,89.0
1484,81.9,4.277088,4.096573,3.067485,371000.0,14.0,3.246295,0.31,40.327584,12.912578,8883.10592,68.44175782,75.0,14.093155,48.2,47.648059,87.0
1485,81.5,5.44327,4.695567,4.022728,367100.0,17.0,3.985545,0.29,40.405976,16.891863,10873.74567,89.58346402,82.0,17.743794,42.3,49.248232,85.0
1486,83.9,3.079155,3.252957,2.498902,372500.0,15.0,1.271633,0.31,37.778093,22.29251,8928.36978,28.4,67.0,27.810384,43.3,47.385568,84.0
1487,81.3,5.660069,5.756104,4.525604,361900.0,17.0,3.934443,0.281,36.891261,17.631065,10080.46266,61.55231854,81.0,15.812951,43.1,47.340824,86.0
1488,79.1,6.886542,5.530728,5.415365,360100.0,19.0,3.885346,0.284,42.418151,17.552299,11757.35467,144.40836853,92.0,22.655802,40.9,49.059692,84.0
1489,85.8,3.42594,3.478555,2.442602,382500.0,11.0,1.883931,0.3,37.559976,12.926922,8989.67305,88.65846167,83.0,12.223038,42.6,44.599926,89.0
1490,81.8,4.852411,3.312911,3.140494,358100.0,16.0,1.851544,0.31,46.602711,17.83418,10867.43445,125.39126039,91.0,24.568133,41.0,48.610242,84.0
1491,86.0,2.882163,2.570883,2.024917,366000.0,13.0,1.891827,0.289,32.622839,11.313417,7791.06507,23.80624558,69.0,13.704795,43.7,44.042664,87.0
