niva,kod,year,val,parti,andel
kommun,0188,2022,RF,MP,2.57
kommun,0188,2022,RF,KD,6.49
kommun,0188,2022,RF,SD,19.96
kommun,0191,2022,KF,M,30.71
kommun,0191,2022,KF,S,28.99
kommun,0191,2022,KF,L,4.33
kommun,0191,2022,KF,C,3.93
kommun,0191,2022,KF,V,6.25
kommun,0191,2022,KF,Sigtunapartiet Samling för Sigtuna,2.51
kommun,0191,2022,KF,MP,3.21
kommun,0191,2022,KF,KD,4.69
kommun,0191,2022,KF,SD,13.76
kommun,0191,2022,RD,M,22.26
kommun,0191,2022,RD,S,27.59
kommun,0191,2022,RD,L,4.07
kommun,0191,2022,RD,C,5.29
kommun,0191,2022,RD,V,6.27
kommun,0191,2022,RD,MP,3.37
kommun,0191,2022,RD,KD,5.95
kommun,0191,2022,RD,SD,22.33
kommun,0191,2022,RD,Partiet Nyans,1.57
kommun,0191,2022,RF,M,23.59
kommun,0191,2022,RF,S,32.01
kommun,0191,2022,RF,L,4.09
kommun,0191,2022,RF,C,4.2
kommun,0191,2022,RF,V,7.2
kommun,0191,2022,RF,MP,2.38
kommun,0191,2022,RF,KD,8.5
kommun,0191,2022,RF,SD,15.06
kommun,0191,2022,RF,Partiet Nyans,1.76
kommun,0192,2022,KF,M,21.99
kommun,0192,2022,KF,S,28.31
kommun,0192,2022,KF,L,4.24
kommun,0192,2022,KF,C,3.6
kommun,0192,2022,KF,V,5.75
kommun,0192,2022,KF,MP,4.03
kommun,0192,2022,KF,KD,4.79
kommun,0192,2022,KF,SD,17.8
kommun,0192,2022,KF,Sorundanet Nynäshamns kommunparti,5.81
kommun,0192,2022,KF,Medborgerlig Samling,1.06
kommun,0192,2022,KF,Pensionärspartiet i Nynäshamns kommun,2.33
kommun,0192,2022,RD,M,17.72
kommun,0192,2022,RD,S,31.44
kommun,0192,2022,RD,L,3.38
kommun,0192,2022,RD,C,4.51
kommun,0192,2022,RD,V,5.21
kommun,0192,2022,RD,MP,4.01
kommun,0192,2022,RD,KD,5.07
kommun,0192,2022,RD,SD,27.26
kommun,0192,2022,RF,M,18.59
kommun,0192,2022,RF,S,35.17
kommun,0192,2022,RF,L,3.74
kommun,0192,2022,RF,C,3.68
kommun,0192,2022,RF,V,7.01
kommun,0192,2022,RF,MP,2.72
kommun,0192,2022,RF,KD,7.34
kommun,0192,2022,RF,SD,20.62
kommun,0305,2022,KF,M,21.09
kommun,0305,2022,KF,S,25.4
kommun,0305,2022,KF,L,3.54
kommun,0305,2022,KF,C,5.44
kommun,0305,2022,KF,V,3.62
kommun,0305,2022,KF,MP,2.23
kommun,0305,2022,KF,KD,4.37
kommun,0305,2022,KF,SD,19.4
kommun,0305,2022,KF,Bålstapartiet,8.16
kommun,0305,2022,KF,HåboDemokraterna,6.27
kommun,0305,2022,RD,M,23.8
kommun,0305,2022,RD,S,24.53
kommun,0305,2022,RD,L,4.35
kommun,0305,2022,RD,C,5.22
kommun,0305,2022,RD,V,3.85
kommun,0305,2022,RD,MP,2.77
kommun,0305,2022,RD,KD,5.98
kommun,0305,2022,RD,SD,28.36
kommun,0305,2022,RF,M,23.25
kommun,0305,2022,RF,S,27.15
kommun,0305,2022,RF,L,4.25
kommun,0305,2022,RF,C,5.23
kommun,0305,2022,RF,V,4.9
kommun,0305,2022,RF,MP,2.23
kommun,0305,2022,RF,KD,9.0
kommun,0305,2022,RF,SD,20.98
kommun,0305,2022,RF,Lokala partier i Uppsala län,2.2
kommun,0319,2022,KF,M,19.86
kommun,0319,2022,KF,S,32.52
kommun,0319,2022,KF,L,1.6
